county,county_id,county_mn_id
Aitkin,27001,1
Anoka,27003,2
Becker,27005,3
Beltrami,27007,4
Benton,27009,5
Big Stone,27011,6
Blue Earth,27013,7
Brown,27015,8
Carlton,27017,9
Carver,27019,10
Cass,27021,11
Chippewa,27023,12
Chisago,27025,13
Clay,27027,14
Clearwater,27029,15
Cook,27031,16
Cottonwood,27033,17
Crow Wing,27035,18
Dakota,27037,19
Dodge,27039,20
Douglas,27041,21
Faribault,27043,22
Fillmore,27045,23
Freeborn,27047,24
Goodhue,27049,25
Grant,27051,26
Hennepin,27053,27
Houston,27055,28
Hubbard,27057,29
Isanti,27059,30
Itasca,27061,31
Jackson,27063,32
Kanabec,27065,33
Kandiyohi,27067,34
Kittson,27069,35
Koochiching,27071,36
Lac qui Parle,27073,37
Lake,27075,38
Lake of the Woods,27077,39
Le Sueur,27079,40
Lincoln,27081,41
Lyon,27083,42
Mahnomen,27085,43
Marshall,27087,44
Martin,27089,45
McLeod,27091,46
Meeker,27093,47
Mille Lacs,27095,48
Morrison,27097,49
Mower,27099,50
Murray,27101,51
Nicollet,27103,52
Nobles,27105,53
Norman,27107,54
Olmsted,27109,55
Otter Tail,27111,56
Pennington,27113,57
Pine,27115,58
Pipestone,27117,59
Polk,27119,60
Pope,27121,61
Ramsey,27123,62
Red Lake,27125,63
Redwood,27127,64
Renville,27129,65
Rice,27131,66
Rock,27133,67
Roseau,27135,68
Scott,27139,70
Sherburne,27141,71
Sibley,27143,72
St. Louis,27137,69
Stearns,27145,73
Steele,27147,74
Stevens,27149,75
Swift,27151,76
Todd,27153,77
Traverse,27155,78
Wabasha,27157,79
Wadena,27159,80
Waseca,27161,81
Washington,27163,82
Watonwan,27165,83
Wilkin,27167,84
Winona,27169,85
Wright,27171,86
Yellow Medicine,27173,87
